date,description,amount
2024-09-15T10:30:00+00:00,amazon mktplace,-49.99
2024-09-15T12:30:00+02:00,amazon mktplace,-49.99
2024-09-16T08:00:00+00:00,starbucks #4187,-4.85
2024-09-16T11:00:00+03:00,starbucks #4187,-4.85
2024-09-17T14:15:00Z,tesco extra peckham,-22.40
2024-09-17T15:15:00+01:00,tesco extra peckham,-22.40
2024-09-18T09:00:00+00:00,uber trip,-9.40
2024-09-18T10:00:00+01:00,uber trip,-9.40
2024-09-19T16:45:00+00:00,spotify premium,-10.99
2024-09-19T18:45:00+02:00,spotify premium,-10.99
