date,description,amount
2024-08-15,silpo продукти,-487.50
2024-08-15,bolt таксі,-92.00
2024-08-16,WOG АЗС,-1200.00
2024-08-17,Starbucks Khreshchatyk,-145.00
2024-08-18,АТБ маркет,-356.20
2024-08-19,Нова Пошта відправлення,-65.00
2024-08-20,salary monobank,42000.00
2024-08-21,Fora ринок,-280.45
2024-08-22,Розетка електроніка,-3499.00
2024-08-23,Glovo доставка,-185.50
2024-08-24,Uklon поїздка,-110.00
2024-08-25,Сільпо продукти,-512.30
2024-08-26,Aroma Kava,-95.00
2024-08-27,Метро київ,-8.00
2024-08-28,Comfy техніка,-1899.00
2024-08-29,АТБ маркет,-298.10
2024-08-30,Netflix місячна,-279.00
